--model_name FAUST
--dataset FAUST_r4_2203
--device_idx 0
--refine 4
--kernel_size 2
--patch_zeromean True
--padded 1
--rotation_augment 1
--test_split ['nichts']
--test_ratio 0.25
--batch_size 100
--hid_rep 10
--lr 0.0001
--clip_grad_norm False
--grad_max_norm 0.1
--Niter 150
--conv_name ChebConv
--ChebNet_K 6
--channels [16, 32]
--lastlinear False
--surface_aware_loss True
--seed [1]
(path) work_dir: ****
(path) data_fp_spec: ****
(path) model_fp: ****

Date:  
24000 training samples
6000 testing samples
23053 trainable weights


 Training Model FAUST for seed 1:

Epoch: 035, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93109, Validation-Loss: 0.000020, Validation R^2 Score: 0.92973, Runtime: 9.60
Epoch: 036, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93117, Validation-Loss: 0.000020, Validation R^2 Score: 0.92964, Runtime: 9.58
Epoch: 037, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93127, Validation-Loss: 0.000020, Validation R^2 Score: 0.93031, Runtime: 9.59
Epoch: 038, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93127, Validation-Loss: 0.000020, Validation R^2 Score: 0.93024, Runtime: 9.63
Epoch: 039, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93128, Validation-Loss: 0.000020, Validation R^2 Score: 0.93042, Runtime: 9.65
Epoch: 040, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93137, Validation-Loss: 0.000020, Validation R^2 Score: 0.93045, Runtime: 9.79
Epoch: 041, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93137, Validation-Loss: 0.000020, Validation R^2 Score: 0.92996, Runtime: 9.78
Epoch: 042, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93134, Validation-Loss: 0.000020, Validation R^2 Score: 0.93087, Runtime: 9.79
Epoch: 043, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93139, Validation-Loss: 0.000020, Validation R^2 Score: 0.92998, Runtime: 9.77
Epoch: 044, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93143, Validation-Loss: 0.000020, Validation R^2 Score: 0.93029, Runtime: 9.78
Epoch: 045, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93135, Validation-Loss: 0.000020, Validation R^2 Score: 0.93028, Runtime: 9.77
Epoch: 046, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93146, Validation-Loss: 0.000020, Validation R^2 Score: 0.93042, Runtime: 9.75
Epoch: 047, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93141, Validation-Loss: 0.000020, Validation R^2 Score: 0.92996, Runtime: 9.77
Epoch: 048, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93144, Validation-Loss: 0.000020, Validation R^2 Score: 0.93026, Runtime: 9.78
Epoch: 049, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93145, Validation-Loss: 0.000020, Validation R^2 Score: 0.93048, Runtime: 9.79
Epoch: 050, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93148, Validation-Loss: 0.000020, Validation R^2 Score: 0.93031, Runtime: 9.76
Epoch: 051, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93145, Validation-Loss: 0.000020, Validation R^2 Score: 0.93024, Runtime: 9.79
Epoch: 052, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93144, Validation-Loss: 0.000020, Validation R^2 Score: 0.93055, Runtime: 9.78
Epoch: 053, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93146, Validation-Loss: 0.000020, Validation R^2 Score: 0.93048, Runtime: 9.79
Epoch: 054, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93150, Validation-Loss: 0.000020, Validation R^2 Score: 0.93093, Runtime: 9.74
Epoch: 055, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93152, Validation-Loss: 0.000020, Validation R^2 Score: 0.92954, Runtime: 9.79
Epoch: 056, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93155, Validation-Loss: 0.000020, Validation R^2 Score: 0.93020, Runtime: 9.79
Epoch: 057, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93155, Validation-Loss: 0.000020, Validation R^2 Score: 0.93034, Runtime: 9.63
Epoch: 058, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93151, Validation-Loss: 0.000020, Validation R^2 Score: 0.93058, Runtime: 9.60
Epoch: 059, Loss: 0.000017, Gradient Norm: 0.001, R^2 Score: 0.93159, Validation-Loss: 0.000020, Validation R^2 Score: 0.93108, Runtime: 9.59
