--model_name TRUCK
--dataset car_TRUCK_r4_2204
--device_idx 0
--refine 4
--kernel_size 2
--patch_zeromean True
--padded 1
--rotation_augment 0
--test_split ['elephant']
--test_ratio -0.3
--batch_size 100
--hid_rep 10
--lr 0.001
--clip_grad_norm False
--grad_max_norm 0.1
--Niter 300
--conv_name ChebConv
--ChebNet_K 6
--channels [16, 32]
--lastlinear False
--surface_aware_loss True
--seed [1]
(path) work_dir: ****
(path) data_fp_spec: ****
(path) model_fp: ****

Date:  
66528 training samples
28512 testing samples
23053 trainable weights


 Training Model TRUCK for seed 1:

Epoch: 035, Loss: 0.000010, Gradient Norm: 0.001, R^2 Score: 0.96259, Validation-Loss: 0.000010, Validation R^2 Score: 0.96301, Runtime: 27.81
Epoch: 036, Loss: 0.000010, Gradient Norm: 0.001, R^2 Score: 0.96282, Validation-Loss: 0.000011, Validation R^2 Score: 0.96164, Runtime: 27.91
Epoch: 037, Loss: 0.000010, Gradient Norm: 0.001, R^2 Score: 0.96288, Validation-Loss: 0.000011, Validation R^2 Score: 0.96136, Runtime: 27.81
Epoch: 038, Loss: 0.000010, Gradient Norm: 0.001, R^2 Score: 0.96307, Validation-Loss: 0.000010, Validation R^2 Score: 0.96266, Runtime: 27.81
Epoch: 039, Loss: 0.000010, Gradient Norm: 0.001, R^2 Score: 0.96338, Validation-Loss: 0.000010, Validation R^2 Score: 0.96303, Runtime: 27.77
Epoch: 040, Loss: 0.000010, Gradient Norm: 0.001, R^2 Score: 0.96344, Validation-Loss: 0.000010, Validation R^2 Score: 0.96278, Runtime: 27.81
Epoch: 041, Loss: 0.000010, Gradient Norm: 0.001, R^2 Score: 0.96359, Validation-Loss: 0.000009, Validation R^2 Score: 0.96476, Runtime: 27.81
Epoch: 042, Loss: 0.000009, Gradient Norm: 0.001, R^2 Score: 0.96384, Validation-Loss: 0.000010, Validation R^2 Score: 0.96379, Runtime: 27.81
Epoch: 043, Loss: 0.000009, Gradient Norm: 0.001, R^2 Score: 0.96397, Validation-Loss: 0.000009, Validation R^2 Score: 0.96493, Runtime: 27.80
Epoch: 044, Loss: 0.000009, Gradient Norm: 0.001, R^2 Score: 0.96408, Validation-Loss: 0.000009, Validation R^2 Score: 0.96532, Runtime: 27.77
Epoch: 045, Loss: 0.000009, Gradient Norm: 0.001, R^2 Score: 0.96430, Validation-Loss: 0.000009, Validation R^2 Score: 0.96476, Runtime: 27.79
Epoch: 046, Loss: 0.000009, Gradient Norm: 0.001, R^2 Score: 0.96439, Validation-Loss: 0.000010, Validation R^2 Score: 0.96497, Runtime: 27.77
Epoch: 047, Loss: 0.000009, Gradient Norm: 0.001, R^2 Score: 0.96460, Validation-Loss: 0.000009, Validation R^2 Score: 0.96429, Runtime: 27.70
Epoch: 048, Loss: 0.000009, Gradient Norm: 0.001, R^2 Score: 0.96476, Validation-Loss: 0.000009, Validation R^2 Score: 0.96525, Runtime: 27.71
Epoch: 049, Loss: 0.000009, Gradient Norm: 0.001, R^2 Score: 0.96484, Validation-Loss: 0.000008, Validation R^2 Score: 0.96409, Runtime: 27.72
Epoch: 050, Loss: 0.000009, Gradient Norm: 0.001, R^2 Score: 0.96494, Validation-Loss: 0.000008, Validation R^2 Score: 0.96506, Runtime: 27.77
Epoch: 051, Loss: 0.000008, Gradient Norm: 0.001, R^2 Score: 0.96507, Validation-Loss: 0.000008, Validation R^2 Score: 0.96543, Runtime: 27.75
Epoch: 052, Loss: 0.000008, Gradient Norm: 0.001, R^2 Score: 0.96521, Validation-Loss: 0.000008, Validation R^2 Score: 0.96514, Runtime: 27.70
Epoch: 053, Loss: 0.000008, Gradient Norm: 0.001, R^2 Score: 0.96527, Validation-Loss: 0.000008, Validation R^2 Score: 0.96540, Runtime: 27.74
Epoch: 054, Loss: 0.000008, Gradient Norm: 0.001, R^2 Score: 0.96540, Validation-Loss: 0.000008, Validation R^2 Score: 0.96558, Runtime: 27.72
Epoch: 055, Loss: 0.000008, Gradient Norm: 0.001, R^2 Score: 0.96543, Validation-Loss: 0.000009, Validation R^2 Score: 0.96407, Runtime: 27.70
Epoch: 056, Loss: 0.000008, Gradient Norm: 0.001, R^2 Score: 0.96548, Validation-Loss: 0.000008, Validation R^2 Score: 0.96528, Runtime: 27.72
Epoch: 057, Loss: 0.000008, Gradient Norm: 0.001, R^2 Score: 0.96556, Validation-Loss: 0.000008, Validation R^2 Score: 0.96600, Runtime: 27.75
Epoch: 058, Loss: 0.000008, Gradient Norm: 0.001, R^2 Score: 0.96561, Validation-Loss: 0.000009, Validation R^2 Score: 0.96506, Runtime: 27.73
Epoch: 059, Loss: 0.000008, Gradient Norm: 0.001, R^2 Score: 0.96565, Validation-Loss: 0.000008, Validation R^2 Score: 0.96552, Runtime: 27.69
Epoch: 060, Loss: 0.000008, Gradient Norm: 0.000, R^2 Score: 0.96572, Validation-Loss: 0.000009, Validation R^2 Score: 0.96667, Runtime: 27.73
Epoch: 061, Loss: 0.000008, Gradient Norm: 0.001, R^2 Score: 0.96570, Validation-Loss: 0.000008, Validation R^2 Score: 0.96547, Runtime: 27.70
Epoch: 062, Loss: 0.000008, Gradient Norm: 0.001, R^2 Score: 0.96576, Validation-Loss: 0.000008, Validation R^2 Score: 0.96641, Runtime: 27.68
Epoch: 063, Loss: 0.000008, Gradient Norm: 0.000, R^2 Score: 0.96582, Validation-Loss: 0.000008, Validation R^2 Score: 0.96622, Runtime: 27.72
Epoch: 064, Loss: 0.000008, Gradient Norm: 0.001, R^2 Score: 0.96581, Validation-Loss: 0.000008, Validation R^2 Score: 0.96703, Runtime: 27.68
Epoch: 065, Loss: 0.000007, Gradient Norm: 0.000, R^2 Score: 0.96586, Validation-Loss: 0.000008, Validation R^2 Score: 0.96441, Runtime: 27.66
Epoch: 066, Loss: 0.000007, Gradient Norm: 0.001, R^2 Score: 0.96581, Validation-Loss: 0.000007, Validation R^2 Score: 0.96643, Runtime: 27.68
Epoch: 067, Loss: 0.000007, Gradient Norm: 0.001, R^2 Score: 0.96584, Validation-Loss: 0.000007, Validation R^2 Score: 0.96611, Runtime: 27.68
Epoch: 068, Loss: 0.000007, Gradient Norm: 0.001, R^2 Score: 0.96581, Validation-Loss: 0.000008, Validation R^2 Score: 0.96540, Runtime: 27.68
Epoch: 069, Loss: 0.000007, Gradient Norm: 0.000, R^2 Score: 0.96585, Validation-Loss: 0.000007, Validation R^2 Score: 0.96550, Runtime: 27.66
Epoch: 070, Loss: 0.000007, Gradient Norm: 0.000, R^2 Score: 0.96591, Validation-Loss: 0.000007, Validation R^2 Score: 0.96477, Runtime: 27.68
Epoch: 071, Loss: 0.000007, Gradient Norm: 0.000, R^2 Score: 0.96589, Validation-Loss: 0.000008, Validation R^2 Score: 0.96588, Runtime: 27.66
Epoch: 072, Loss: 0.000007, Gradient Norm: 0.001, R^2 Score: 0.96585, Validation-Loss: 0.000007, Validation R^2 Score: 0.96591, Runtime: 27.68
Epoch: 073, Loss: 0.000007, Gradient Norm: 0.001, R^2 Score: 0.96590, Validation-Loss: 0.000007, Validation R^2 Score: 0.96609, Runtime: 27.65
Epoch: 074, Loss: 0.000007, Gradient Norm: 0.001, R^2 Score: 0.96591, Validation-Loss: 0.000007, Validation R^2 Score: 0.96609, Runtime: 27.63
Epoch: 075, Loss: 0.000007, Gradient Norm: 0.000, R^2 Score: 0.96595, Validation-Loss: 0.000007, Validation R^2 Score: 0.96579, Runtime: 27.66
Epoch: 076, Loss: 0.000007, Gradient Norm: 0.000, R^2 Score: 0.96592, Validation-Loss: 0.000007, Validation R^2 Score: 0.96642, Runtime: 27.66
